year,Country iso,Country name,occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
1950,ATG,Antigua and Barbuda,1,2,0,0,0,0,1000
1950,BEL,Belgium,1,38,0,2,0,2,0
1950,CAN,Canada,3,22,107000,53,0,107053,100000
1950,CHN,China P Rep,1,500,10000000,0,0,10000000,0
1950,COL,Colombia,1,150,0,0,40000,40000,0
1950,ECU,Ecuador,1,50,0,0,0,0,0
1950,DDR,Germany Dem Rep,1,150,0,0,0,0,0
1950,IND,India,4,1735,25000,0,0,25000,0
1950,IRN,Iran Islam Rep,1,52,0,0,0,0,0
1950,JPN,Japan,4,1075,642117,1044,0,643161,0
1950,PAK,Pakistan,1,2900,0,0,0,0,0
1950,PER,Peru,2,213,0,200,0,200,0
1950,PHL,Philippines,1,84,0,0,0,0,0
1950,SDN,Sudan,1,0,72162,0,0,72162,0
1950,USA,United States,6,415,0,352,0,352,100000
1950,VEN,Venezuela,1,100,0,0,0,0,0
1951,BGD,Bangladesh,1,200,0,0,0,0,0
1951,CHN,China P Rep,1,4800,0,0,0,0,0
1951,COM,Comoros,1,500,0,0,0,0,0
1951,SLV,El Salvador,1,1000,0,0,0,0,23000
1951,IDN,Indonesia,1,1300,0,0,0,0,0
1951,IRN,Iran Islam Rep,1,225,0,0,0,0,0
1951,ITA,Italy,2,163,0,0,173500,173500,300000
1951,JAM,Jamaica,1,154,20000,200,0,20200,56000
1951,JPN,Japan,2,1249,318534,0,0,318534,0
1951,MEX,Mexico,1,50,0,0,0,0,0
1951,MAR,Morocco,1,131,0,0,0,0,0
1951,NCL,New Caledonia,1,2,0,0,0,0,0
1951,NIC,Nicaragua,1,500,0,0,0,0,0
1951,PNG,Papua New Guinea,1,3000,0,0,0,0,0
1951,PHL,Philippines,4,1312,60000,0,0,60000,0
1951,CHE,Switzerland,1,92,0,0,0,0,20000
1951,TWN,Taiwan,1,100,0,0,0,0,0
1951,TUR,Turkey,1,54,0,150,0,150,0
1951,GBR,United Kingdom,1,24,0,0,0,0,0
1951,USA,United States,5,205,0,0,0,0,1129000
1951,VUT,Vanuatu,1,100,0,0,0,0,250
1952,DZA,Algeria,1,25,0,0,0,0,0
1952,AUT,Austria,1,28,0,0,0,0,0
1952,BEL,Belgium,1,10,0,0,0,0,0
1952,CAN,Canada,1,19,0,0,0,0,0
1952,COG,Congo,1,15,0,0,0,0,0
1952,FJI,Fiji,1,23,0,800,0,800,2000
1952,FRA,France,1,34,15,0,0,15,0
1952,HTI,Haiti,1,6,0,0,0,0,20000
1952,IND,India,2,750,1000000,0,0,1000000,0
1952,JPN,Japan,3,235,29,200,0,229,0
1952,MEX,Mexico,2,140,0,0,0,0,0
1952,PHL,Philippines,2,1014,0,452,0,452,50000
1952,POL,Poland,1,160,0,0,0,0,0
1952,ZAF,South Africa,1,35,0,0,0,0,0
