Country,2015,2014,2013,2012,2011,2010,2009,2008
Iceland,1.148,1.189,1.162,1.113,1.148,1.212,1.203,1.107
Denmark,1.15,1.193,1.207,1.239,1.289,1.341,1.263,1.238
Austria,1.198,1.2,1.25,1.328,1.337,1.29,1.24,1.291
New Zealand,1.221,1.236,1.237,1.239,1.279,1.188,1.227,1.19
Switzerland,1.275,1.258,1.272,1.349,1.421,1.424,1.349,1.234
Finland,1.277,1.297,1.297,1.348,1.352,1.352,1.297,1.273
Canada,1.287,1.306,1.306,1.317,1.355,1.392,1.324,1.264
Japan,1.323,1.316,1.293,1.326,1.287,1.247,1.243,1.23
Australia,1.329,1.414,1.438,1.494,1.455,1.467,1.44,1.421
Czech Republic,1.341,1.381,1.404,1.396,1.32,1.36,1.43,1.435
Portugal,1.344,1.425,1.467,1.47,1.453,1.366,1.426,1.385
Ireland,1.354,1.384,1.37,1.328,1.37,1.337,1.393,1.31
Sweden,1.36,1.381,1.319,1.419,1.401,1.354,1.253,1.282
Belgium,1.365,1.354,1.339,1.376,1.413,1.4,1.365,1.368
Slovenia,1.378,1.398,1.374,1.33,1.358,1.358,1.343,1.37
Germany,1.379,1.423,1.431,1.424,1.416,1.398,1.443,1.406
Norway,1.393,1.371,1.359,1.48,1.356,1.322,1.324,1.288
Bhutan,1.416,1.422,1.487,1.481,1.693,1.665,1.722,1.44
Poland,1.43,1.532,1.53,1.524,1.545,1.618,1.597,1.61
Netherlands,1.432,1.475,1.508,1.606,1.628,1.61,1.609,1.555
Spain,1.451,1.548,1.563,1.548,1.641,1.588,1.64,1.55
Hungary,1.463,1.482,1.52,1.476,1.495,1.495,1.574,1.452
Slovakia,1.478,1.467,1.622,1.59,1.576,1.536,1.532,1.533
Singapore,1.49,1.545,1.438,1.521,1.585,1.624,1.439,1.465
Mauritius,1.503,1.544,1.497,1.487,,,,
Romania,1.542,1.677,1.584,1.627,1.742,1.749,1.58,1.537
Croatia,1.55,1.548,1.571,1.648,1.699,1.707,1.669,1.76
Malaysia,1.561,1.659,1.574,1.59,1.485,1.539,1.52,1.517
Chile,1.563,1.591,1.589,1.616,1.71,1.616,1.468,1.431
Qatar,1.568,1.491,1.48,1.395,1.398,1.394,1.357,1.561
Botswana,1.597,1.678,1.598,1.621,1.695,1.641,1.634,1.65
Bulgaria,1.607,1.637,1.663,1.699,1.845,1.785,1.738,1.72
Kuwait,1.626,1.679,1.705,1.792,1.667,1.693,1.691,1.67
Costa Rica,1.654,1.755,1.755,1.659,1.681,1.59,1.595,1.57
Taiwan,1.657,1.558,1.538,1.602,1.638,1.664,1.644,1.66
Italy,1.669,1.675,1.663,1.69,1.775,1.701,1.693,1.62
Lithuania,1.674,1.797,1.784,1.741,1.76,1.713,1.675,1.67
Estonia,1.677,1.635,1.71,1.715,1.798,1.751,1.72,1.65
United Kingdom,1.685,1.798,1.787,1.609,1.631,1.631,1.71,1.74
Latvia,1.695,1.745,1.772,1.774,1.793,1.827,1.774,1.7
Laos,1.7,1.723,1.724,1.662,1.687,1.661,1.767,1.77
South Korea,1.701,1.849,1.822,1.734,1.829,1.715,1.716,1.66
Mongolia,1.706,1.778,1.921,1.884,1.88,2.101,2.06,2.06
Uruguay,1.721,1.565,1.528,1.628,1.521,1.568,1.573,1.524
France,1.742,1.808,1.863,1.71,1.697,1.636,1.779,1.75
Indonesia,1.768,1.853,1.879,1.913,1.979,1.946,1.843,1.86
Serbia,1.768,1.849,1.912,1.92,2.071,2.071,1.906,2.02
Namibia,1.784,1.808,1.807,1.804,1.85,1.864,1.837,1.82
Senegal,1.805,1.974,2.061,1.994,2.047,2.031,1.969,1.95
